Phi,Psi
-91.991,-150.4
-92.786,-150.468
-91.586,-150.58
-91.444,-150.514
-92.763,-150.256
-92.19,-149.454
-92.171,-150.706
-92.142,-150.665
-92.55,-150.643
-91.891,-151.452
-92.149,-150.814
-91.383,-151.708
-92.738,-150.786
-92.265,-150.522
-92.842,-149.745
-91.941,-150.334
-92.02,-150.083
-92.324,-150.607
-91.747,-151.074
-92.391,-150.673
-92.144,-150.467
-92.513,-149.854
-91.958,-150.604
-92.453,-151.162
-92.276,-150.47
-91.98,-150.812
-92.044,-149.756
-92.467,-149.359
-91.8,-150.188
-91.636,-150.202
-90.785,-150.344
-92.316,-150.944
-92.042,-150.322
-91.865,-150.288
-92.075,-150.577
-92.657,-150.294
-92.397,-150.37
-91.416,-150.595
-92.178,-150.877
-91.276,-151.443
-91.576,-150.491
-92.521,-150.141
-92.001,-149.808
-91.617,-151.147
-92.511,-150.22
-92.449,-150.614
-91.987,-150.561
-91.469,-150.543
-92.003,-150.573
-91.968,-149.973
-92.024,-150.749
-92.139,-150.835
-91.762,-151.073
-91.837,-150.444
-91.468,-150.591
-92.566,-150.32
-92.104,-150.76
-92.768,-149.858
-92.137,-150.722
-91.411,-150.438
-91.687,-150.538
-91.783,-150.802
-92.21,-150.69
-92.67,-150.568
-91.818,-150.566
-93.598,-150.16
-91.369,-150.383
-92.601,-149.687
-92.215,-149.647
-93.338,-150.902
-92.214,-150.584
-92.484,-151.008
-91.811,-150.653
-91.369,-150.634
-92.176,-149.786
-92.0,-150.552
-92.655,-150.139
-92.678,-150.283
-91.807,-150.592
-91.661,-151.168
-91.938,-150.51
-90.848,-150.963
-91.29,-151.014
-91.519,-151.109
-92.15,-150.246
-91.972,-150.835
-92.294,-150.434
-91.823,-150.806
-92.268,-150.034
-91.409,-151.125
-92.58,-150.114
-91.992,-150.54
-91.895,-150.654
-91.381,-150.439
-92.271,-150.733
-91.711,-150.86
-91.811,-150.393
-92.893,-149.947
-91.724,-150.292
-91.824,-149.99
-92.308,-150.389
-91.904,-150.528
-91.667,-150.899
-92.193,-150.678
